dimension,stratum,method,n,chrf,rouge_l,token_f1,bertscore_f1,mean_score
reference_length,long_61_plus,zero_shot,149,0.3317162518335803,0.14631471072037247,0.22773365400028184,0.6844793526118234,0.3475609922915145
reference_length,long_61_plus,zero_shot_rag,149,0.35090652873689204,0.158664085352187,0.24213830570375816,0.686155624037621,0.3594661359576146
reference_length,long_61_plus,lora,149,0.3424842487398073,0.2387222936418271,0.3247227193547829,0.7302310502769163,0.4090400780033334
reference_length,long_61_plus,lora_rag,149,0.26886448334520774,0.20351974264648834,0.2531025206882192,0.7108256472837204,0.3590780984909089
reference_length,medium_21_60,zero_shot,123,0.29876220842312023,0.11644902328675658,0.17983589822085616,0.6813725620750489,0.3191049230014455
reference_length,medium_21_60,zero_shot_rag,123,0.3083380937657723,0.13248371521375468,0.18553698336169344,0.684986084941926,0.3278362193207867
reference_length,medium_21_60,lora,123,0.3887430824967868,0.28115272983112105,0.3316028273452317,0.7492106348518434,0.4376773186312457
reference_length,medium_21_60,lora_rag,123,0.32214101961540254,0.2518706635198954,0.30021353111174626,0.7379534889042862,0.40304467578783254
reference_length,short_0_20,zero_shot,42,0.17503040728761823,0.0578413767935248,0.07709975192866653,0.6595428954987299,0.2423786078771349
reference_length,short_0_20,zero_shot_rag,42,0.17319757372769415,0.06434329017582037,0.08202702840151709,0.6570308719362531,0.2441496910603212
reference_length,short_0_20,lora,42,0.3728021585307678,0.22932182864250844,0.24435767861234073,0.7346633530798412,0.3952862547163645
reference_length,short_0_20,lora_rag,42,0.3595433441873418,0.24456433104162267,0.2711549796728076,0.7322252634025755,0.4018719795760869
question_length,long_61_plus,zero_shot,121,0.32166736976491167,0.13708124585144166,0.21152321517805636,0.6784037208754169,0.3371688879174567
question_length,long_61_plus,zero_shot_rag,121,0.32929957449289204,0.14531222212489311,0.21650047616867055,0.6767779583773337,0.3419725577909474
question_length,long_61_plus,lora,121,0.3560398993116613,0.25408985464540323,0.32850058698612744,0.7380767420303723,0.41917677074339105
question_length,long_61_plus,lora_rag,121,0.2952836252802174,0.21853533583941004,0.27664149268018884,0.717977059281562,0.3771093782703446
question_length,medium_21_60,zero_shot,157,0.2902338127125407,0.11641558682313478,0.17939506946785716,0.6819512418880584,0.3169989277228978
question_length,medium_21_60,zero_shot_rag,157,0.3021557139758761,0.1285480302668044,0.19033565618010675,0.6840310415644555,0.3262676104968107
question_length,medium_21_60,lora,157,0.3640559213086803,0.24891647064300138,0.3081475133360272,0.7367251526777912,0.41446126449137494
question_length,medium_21_60,lora_rag,157,0.29947994590334287,0.23408696293015013,0.27348437789930413,0.7282502844834783,0.38382539280406885
question_length,short_0_20,zero_shot,36,0.2510080535528894,0.10248282521327774,0.15363846014480276,0.6762181967496872,0.29583688391516433
question_length,short_0_20,zero_shot_rag,36,0.28336835565826585,0.13539011797643868,0.17404266832016904,0.6889657378196716,0.32044171994363624
question_length,short_0_20,lora,36,0.3962676501515138,0.2766157228277909,0.3140590230546331,0.7455572403139539,0.4331249090869729
question_length,short_0_20,lora_rag,36,0.3343695478129912,0.2328279542894407,0.2671216975292718,0.7284511890676286,0.3906925971748331
image_count,multiple_images,zero_shot,296,0.2997163021731036,0.12378173257121072,0.1903392934594267,0.6805046120205441,0.32358548505607126
image_count,multiple_images,zero_shot_rag,296,0.3126700460980995,0.13714740568363207,0.20094767951188583,0.6829674868164836,0.33343315452752526
image_count,multiple_images,lora,296,0.3640841188729242,0.2550216014979446,0.31724948810551423,0.7385138941777719,0.4187172756635387
image_count,multiple_images,lora_rag,296,0.30232983187699225,0.22680167877511004,0.27303506068976063,0.7240885800203761,0.3815637878405598
image_count,single_image,zero_shot,18,0.2671513790049198,0.10633704143645668,0.163882702456721,0.6704269515143501,0.30194951860311187
image_count,single_image,zero_shot_rag,18,0.27414570925070036,0.11351287743316966,0.15912658670520993,0.6626331640614403,0.30235458436263
image_count,single_image,lora,18,0.37413020451348594,0.23869612674743804,0.3071114983229026,0.7340601517094506,0.4134994953233193
image_count,single_image,lora_rag,18,0.2941857584116181,0.2468299029771933,0.2893706161876793,0.7280301087432437,0.3896040965799336
