effect,dimension,stratum,n,mean_delta,median_delta,positive_rate
lora_vs_zero_shot,overall,all,314,0.09607296051201943,0.08235888974714946,0.964968152866242
lora_vs_zero_shot,reference_length,long_61_plus,149,0.061479085711818905,0.05451560556673224,0.9328859060402684
lora_vs_zero_shot,reference_length,medium_21_60,123,0.11857239562980026,0.10504480256674614,0.991869918699187
lora_vs_zero_shot,reference_length,short_0_20,42,0.1529076468392297,0.14756372150083757,1.0
lora_vs_zero_shot,image_count,multiple_images,296,0.09513179060746746,0.08187393599997062,0.9662162162162162
lora_vs_zero_shot,image_count,single_image,18,0.11154997672020737,0.13472480604026954,0.9444444444444444
rag_on_zero_shot,overall,all,314,0.009306373717266555,0.0031627948497083835,0.5509554140127388
rag_on_zero_shot,reference_length,long_61_plus,149,0.011905143666100092,0.006829392497103903,0.5973154362416108
rag_on_zero_shot,reference_length,medium_21_60,123,0.008731296319341133,0.001759258745391512,0.5284552845528455
rag_on_zero_shot,reference_length,short_0_20,42,0.0017710831831863286,-0.001925551569425643,0.4523809523809524
rag_on_zero_shot,image_count,multiple_images,296,0.009847669471453957,0.003883967053190801,0.5574324324324325
rag_on_zero_shot,image_count,single_image,18,0.0004050657595181698,-0.004651075540635596,0.4444444444444444
rag_on_lora,overall,all,314,-0.03639346997765198,-0.02407699989341766,0.3375796178343949
rag_on_lora,reference_length,long_61_plus,149,-0.04996197951242444,-0.036852728795151446,0.31543624161073824
rag_on_lora,reference_length,medium_21_60,123,-0.03463264284341316,-0.03200392220963433,0.2845528455284553
rag_on_lora,reference_length,short_0_20,42,0.0065857248597223535,0.008962130476283858,0.5714285714285714
rag_on_lora,image_count,multiple_images,296,-0.03715348782297899,-0.023537713191542076,0.34121621621621623
rag_on_lora,image_count,single_image,18,-0.023895398743385674,-0.029313296641323622,0.2777777777777778
