effect,dimension,stratum,n,mean_delta,median_delta,positive_rate
lora_vs_zero_shot,overall,all,314,-0.022282344054191314,-0.01703018306995166,0.39171974522292996
lora_vs_zero_shot,reference_length,long_61_plus,32,-0.10298019935205706,-0.11183266008348794,0.0625
lora_vs_zero_shot,reference_length,medium_21_60,123,-0.03368061322734419,-0.029568535871351942,0.34146341463414637
lora_vs_zero_shot,reference_length,short_0_20,159,0.002776262724610624,-0.0015730855704750024,0.4968553459119497
lora_vs_zero_shot,image_count,multiple_images,296,-0.024401163449629365,-0.02182265332778427,0.375
lora_vs_zero_shot,image_count,single_image,18,0.012560463781901047,0.01661540333722683,0.6666666666666666
rag_on_zero_shot,overall,all,314,-0.0038899346113119046,-0.0034591556023418346,0.44904458598726116
rag_on_zero_shot,reference_length,long_61_plus,32,0.0009150480463678452,-0.0015607850889047536,0.46875
rag_on_zero_shot,reference_length,medium_21_60,123,-0.0031424003215916414,-0.003431835747900902,0.4634146341463415
rag_on_zero_shot,reference_length,short_0_20,159,-0.005435256389181994,-0.004097357388917172,0.4339622641509434
rag_on_zero_shot,image_count,multiple_images,296,-0.0045351672683636565,-0.003767209735848792,0.44256756756756754
rag_on_zero_shot,image_count,single_image,18,0.0067205579713169135,0.0018987360913076123,0.5555555555555556
rag_on_lora,overall,all,314,-0.05136094418512797,-0.04549271901145577,0.2515923566878981
rag_on_lora,reference_length,long_61_plus,32,-0.00924542467131476,-0.005546084809319021,0.46875
rag_on_lora,reference_length,medium_21_60,123,-0.0672056059244791,-0.05542927226437899,0.1951219512195122
rag_on_lora,reference_length,short_0_20,159,-0.04757983242727787,-0.04682248796076566,0.25157232704402516
rag_on_lora,image_count,multiple_images,296,-0.051747309720624135,-0.04549271901145577,0.25
rag_on_lora,image_count,single_image,18,-0.04500737760141332,-0.034972023592911114,0.2777777777777778
