dataset_variant,method,model_name,split,n,empty_predictions,chrf_mean,rouge_l_mean,token_f1_mean,sacrebleu_corpus,chrf_corpus,bertscore_f1_mean
dataset_enriched,vlm_lora,final_adapter,valid,157,0,0.361183379719472,0.2428533792364365,0.305195655327613,10.9044737336083,35.704687406300245,0.7370426051176278
dataset_enriched,vlm_lora,final_adapter,test,314,0,0.3646600091325742,0.2540857462574697,0.3166683294555556,11.598495128913289,35.6905038213436,0.73825858409997
dataset_enriched,vlm_zero_shot,Qwen/Qwen2.5-VL-3B-Instruct,valid,157,0,0.3067384946214216,0.1213072739707516,0.1908161204493286,1.0723803547163573,32.453772438063794,0.6819717360150283
dataset_enriched,vlm_zero_shot_rag_e5_small_enriched,Qwen/Qwen2.5-VL-3B-Instruct,valid,157,0,0.3145379296566621,0.1283185498478001,0.1957916995413495,1.1779643921867613,33.29825495796358,0.6850383574036276
dataset_enriched,vlm_zero_shot,Qwen/Qwen2.5-VL-3B-Instruct,test,314,0,0.2978495231379848,0.122781718429728,0.1888226735930296,1.401139350381101,31.4084719112497,0.6799269117367496
dataset_enriched,vlm_zero_shot_rag_e5_small_enriched,Qwen/Qwen2.5-VL-3B-Instruct,test,314,0,0.3104616446227708,0.1357925601151342,0.1985502920261528,1.7116297829136322,32.47018861362046,0.6818018250025002
dataset_enriched,vlm_lora_rag_e5_small_enriched,final_adapter,valid,157,0,0.3113960642513723,0.2182341305235713,0.2715017412468683,9.032685029055964,31.2908120957011,0.7234130949731086
dataset_enriched,vlm_lora_rag_e5_small_enriched,final_adapter,test,314,0,0.3018629741624166,0.2279497935382868,0.2739714938074757,8.798931984183705,29.169921835344372,0.7243145275267826
dataset_enriched,vlm_lora_rag_aware,final_adapter,valid,157,0,0.30254143187838567,0.2528000091824505,0.2873932467366378,9.965134826632926,28.086052491082725,0.7388166489115187
dataset_enriched,vlm_lora_rag_aware,final_adapter,test,314,0,0.2978970949781447,0.24796700334007796,0.28825596934174547,9.087644712351105,27.946474643698103,0.7368001529745235
